,county,customers_served,timestamp
0,adams,33574,01-04-2025 19:27:34
6,alexander,757,01-16-2024 22:08:26
7,bond,5159,01-01-2024 06:53:25
8,boone,26473,01-02-2024 21:23:25
1,brown,3059,01-10-2024 18:38:27
9,bureau,10821,01-05-2024 16:37:22
10,calhoun,6201,01-08-2024 16:08:25
86,carroll,17837,01-04-2025 21:42:34
11,cass,6418,01-09-2024 18:57:43
12,champaign,93527,01-01-2024 00:08:25
13,christian,12767,01-08-2024 09:38:26
14,clark,2214,01-09-2024 17:53:26
15,clay,6449,04-02-2024 08:07:39
16,clinton,10781,04-02-2025 23:36:49
17,coles,28885,01-01-2024 23:38:26
88,cook,2402281,01-01-2024 00:07:33
18,crawford,13932,01-03-2024 15:12:43
19,cumberland,3725,01-14-2024 17:08:26
20,dekalb,46768,01-05-2024 14:08:26
21,dewitt,6520,01-03-2024 15:53:26
22,douglas,8670,01-02-2024 15:53:25
89,dupage,374226,01-03-2024 15:27:42
23,edgar,6999,01-08-2024 16:08:25
24,edwards,4240,01-05-2024 21:51:33
25,effingham,16029,01-04-2025 17:31:47
26,fayette,6890,01-01-2024 04:38:22
27,ford,6079,01-03-2025 16:52:33
28,franklin,48975,01-22-2024 21:06:34
29,fulton,14727,01-02-2024 14:38:25
30,gallatin,2145,01-15-2024 14:53:26
31,greene,4016,01-02-2024 16:53:25
90,grundy,24700,01-09-2024 15:57:43
32,hamilton,2658,03-17-2025 15:36:38
2,hancock,8135,01-09-2024 06:16:48
100,hardin,902,01-17-2024 14:27:41
33,henderson,2667,01-04-2024 16:38:26
34,henry,22314,01-09-2024 08:20:21
35,iroquois,10534,01-13-2024 19:07:39
36,jackson,19576,01-02-2024 16:23:28
37,jasper,9527,01-08-2024 04:23:24
38,jefferson,110429,01-10-2025 22:06:10
39,jersey,6858,01-07-2024 15:53:24
40,jo daviess,16397,02-05-2024 16:23:27
41,johnson,50507,01-12-2024 14:38:25
91,kane,173104,01-01-2025 01:07:26
42,kankakee,50644,01-23-2024 16:08:23
43,kendall,52365,01-03-2024 16:23:26
44,knox,26636,01-03-2024 15:23:23
92,lake,296414,01-01-2024 00:07:33
45,lasalle,47838,01-01-2024 16:53:24
46,lawrence,8288,01-07-2024 04:08:25
93,lee,22417,01-01-2025 06:07:28
47,livingston,17403,01-09-2024 15:53:26
48,logan,12927,01-02-2024 13:38:24
49,macon,53382,01-01-2024 17:08:26
50,macoupin,19099,01-01-2024 13:23:25
51,madison,111838,01-05-2025 02:57:34
52,marion,31194,03-15-2025 06:21:12
53,marshall,6741,01-07-2024 02:22:17
54,mason,5998,01-02-2024 23:53:26
55,massac,4765,01-16-2024 00:38:27
3,mcdonough,9870,01-09-2024 16:01:48
94,mchenry,135484,01-01-2024 05:37:35
56,mclean,59669,01-01-2024 16:23:26
57,menard,4108,01-01-2024 21:53:26
58,mercer,10129,01-03-2024 15:27:42
59,monroe,8968,01-15-2024 19:12:41
60,montgomery,9303,01-02-2025 16:42:35
61,morgan,15532,01-02-2024 18:23:26
62,moultrie,1020,01-04-2024 15:53:27
95,ogle,18619,01-02-2025 01:22:36
63,peoria,91243,01-01-2024 00:38:26
64,perry,9736,01-06-2025 08:06:31
65,piatt,7475,01-03-2024 22:23:25
4,pike,7338,01-09-2024 16:31:48
66,pulaski,1719,01-08-2024 16:38:24
67,putnam,3213,01-02-2024 15:23:23
68,randolph,10114,01-01-2024 13:23:25
69,richland,8731,01-07-2025 17:21:12
96,rock island,75834,04-29-2025 16:22:11
70,saline,9997,01-01-2024 16:53:24
71,sangamon,20500,01-01-2024 18:23:26
5,schuyler,3986,01-04-2024 03:38:25
72,scott,87825,01-01-2025 03:57:34
73,shelby,8325,05-16-2025 03:46:48
74,st. clair,110598,01-06-2025 08:06:31
75,stark,2983,01-09-2024 06:53:25
97,stephenson,22830,01-01-2025 09:37:33
76,tazewell,63146,01-01-2024 00:08:25
77,union,9778,01-03-2024 08:42:41
78,vermilion,36863,01-01-2024 13:53:23
79,wabash,866,01-06-2025 19:36:10
80,warren,25774,01-02-2024 15:27:43
81,washington,13702,01-01-2025 00:06:34
82,wayne,9440,01-24-2024 14:07:12
83,white,5350,01-10-2024 06:23:26
87,whiteside,23065,03-30-2024 13:12:43
98,will,262664,01-01-2024 03:22:27
84,williamson,26085,01-02-2024 15:23:23
99,winnebago,125245,01-01-2024 17:07:29
85,woodford,13796,01-03-2024 07:38:24
