ID,customers_affected,customers_served,start_time,end_time,duration,county
1,7,61629,2024-05-23 17:59:49.121366,2024-05-23 21:14:47.115718,0 days 03:14:57.994352,aiken
1,30,61078,2024-05-23 17:15:03.647765,2024-05-23 21:14:47.115718,0 days 03:59:43.467953,beaufort
1,21,85996,2024-05-23 17:13:35.000000,2024-05-23 20:42:56.000000,0 days 03:29:21,berkeley
2,1,29818,2024-05-23 19:29:49.260988,2024-05-23 20:59:48.168576,0 days 01:29:58.907588,berkeley
1,134,33209,2024-05-23 17:13:35.000000,2024-05-23 23:57:52.000000,0 days 06:44:17,charleston
2,44,214968,2024-05-23 17:15:03.647765,2024-05-23 23:59:45.867913,0 days 06:44:42.220148,charleston
1,3,13455,2024-05-23 17:15:03.647765,2024-05-23 17:15:03.647765,0 days 00:00:00,colleton
2,1,13461,2024-05-23 20:14:47.913347,2024-05-23 23:59:45.867913,0 days 03:44:57.954566,colleton
1,62,69588,2024-05-23 19:14:49.646427,2024-05-23 23:14:48.254858,0 days 03:59:58.608431,dorchester
1,1,7323,2024-05-23 17:29:48.202928,2024-05-23 17:29:48.202928,0 days 00:00:00,hampton
1,1,10047,2024-05-23 18:29:46.991586,2024-05-23 18:59:47.544450,0 days 00:30:00.552864,jasper
1,2,113646,2024-05-23 18:59:47.544450,2024-05-23 21:44:49.685213,0 days 02:45:02.140763,lexington
1,1,13612,2024-05-23 19:14:49.646427,2024-05-23 19:44:44.053533,0 days 00:29:54.407106,orangeburg
1,840,180047,2024-05-23 17:15:03.647765,2024-05-23 23:14:48.254858,0 days 05:59:44.607093,richland
1,11,1338,2024-05-23 19:42:20.000000,2024-05-23 20:57:21.000000,0 days 01:15:01,saluda
